name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
Almost Maybes,0.146,0.582,0.868,0.0,0.103,-3.927,0.0522,90.105,0.555,4
WHERE TO FIND ME,0.137,0.594,0.812,0.0,0.276,-5.105,0.0404,127.983,0.811,4
God And Country Music,0.727,0.545,0.455,0.000197,0.117,-6.346,0.0282,146.818,0.309,3
Country Boy Things,0.0279,0.54,0.944,7.12e-05,0.325,-4.38,0.0724,116.028,0.451,4
Hole In A Bottle,0.047,0.686,0.796,0.0,0.156,-5.532,0.03,112.987,0.733,4
Whiskey Kinda Night,0.506,0.644,0.495,1.45e-05,0.132,-7.99,0.0243,103.01,0.164,4
Everywhere But On,0.0345,0.563,0.722,0.0,0.0795,-3.972,0.0279,149.903,0.309,4
BOOTS,0.181,0.544,0.871,0.0,0.0862,-3.831,0.0392,104.018,0.511,4
Phone Call to God,0.259,0.332,0.603,0.0,0.174,-7.133,0.0366,88.236,0.284,4
Sunshine & Whiskey,0.223,0.67,0.737,0.0,0.325,-6.794,0.0434,92.983,0.754,4
Wild World,0.0619,0.637,0.448,0.0,0.117,-9.087,0.0513,150.066,0.223,4
Runnin' Outta Moonlight,0.0354,0.526,0.801,3.17e-06,0.0637,-3.717,0.0393,172.024,0.769,4
Church Bells,0.226,0.575,0.844,0.0,0.0538,-1.772,0.0633,87.007,0.542,4
Before He Cheats,0.271,0.519,0.749,0.0,0.119,-3.318,0.0405,147.905,0.29,4
Honky Tonk Highway,0.0576,0.574,0.699,0.0,0.0932,-4.37,0.0427,131.958,0.421,4
Cover Me Up,0.236,0.525,0.437,7.03e-06,0.121,-8.285,0.0272,127.994,0.195,3
This Damn Song,0.193,0.647,0.472,0.0,0.269,-6.743,0.0323,120.187,0.166,4
Out There,0.0364,0.53,0.795,2.67e-06,0.142,-5.233,0.0339,153.984,0.516,4
Better Boat (feat. Mindy Smith),0.827,0.574,0.265,2.25e-05,0.133,-11.3,0.0302,143.808,0.394,4
Almost,0.0208,0.603,0.739,0.0,0.4,-6.173,0.0243,99.979,0.505,4
When The Stars Come Out,0.256,0.471,0.536,0.00113,0.0994,-9.678,0.0251,147.506,0.41,4
