name,uri,genres
Altitude Adjustment,4XSLXwwLskeFy1k6ec4tBg,"['contemporary country', 'neo-traditional country', 'texas country']"
Somewhere On The Wind,7kISgr6Y51hKENX23gXu2L,"['contemporary country', 'neo-traditional country', 'texas country']"
Brand New Man - with Luke Combs,6SewJZC2f9ETwJR2zZWkOP,"['contemporary country', 'country', 'country road', 'country rock']"
Summer Nights,27rSEMh30XdxOgQX7AKSaM,"['contemporary country', 'country', 'country road', 'pop rock']"
What I See,4zLh511JiWkVxr5QOUkeVR,"['contemporary country', 'country pop']"
American Nights,6B4LAyly39cv8Cat9nHObl,['contemporary country']
Monsters,55UCRHfezMCFfbGy0tfjTG,"['contemporary country', 'country', 'country road']"
I Got Away with You,5FUKOLrwBWkUzJ0Du3dm5T,['contemporary country']
Rainy Night Song,1F1E5k7UZpbNpByURm6Xgd,"['contemporary country', 'country', 'country road', 'modern country rock']"
Back On The Backroads,6rDaYgIdP4qDRYpUlOnlLV,"['contemporary country', 'country', 'country road', 'modern country rock']"
Gettin' You Home,28Sc21lrWcZD9Ov4rRkPJq,"['contemporary country', 'country', 'country road', 'modern country rock']"
Panama Red,2SMBD7vVSuoWLBqdst7TtA,"['banjo', 'bluegrass', 'country rock', 'jam band', 'jamgrass', 'old-time', 'progressive bluegrass']"
I Know She Ain't Ready,0TQ9Hf5DwI9crGZSIlq445,['contemporary country']
Beyond (feat. Luke Combs) - Live,05zt3H2jdG0MA1V6Q2t2Et,"['modern blues', 'soul']"
Fightin' The Fool,24smp7WNaOXqCEDDVjgeK6,"['contemporary country', 'country', 'country road', 'modern country rock']"
Borrowed Time,3kPWlLtHjP0jO18AaPQzsz,"['contemporary country', 'country', 'country road', 'modern country rock']"
Old Glory,3HQrXNeMmLrQvTqbmrl1J8,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']"
Kids In The South,5gGPTjXzDNqtBkCs74RIUQ,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']"
This One's for You,02Ey48n33H3erWJRZAtTFj,['contemporary country']
On My Way to You,3OjNkFFZavF89xvRqWCXmU,"['contemporary country', 'country', 'country road', 'texas country']"
Dear Rodeo,5S8TnsIYMVrUg1bKxiGf6e,"['contemporary country', 'country', 'country road', 'texas country']"
Monday Morning Merle,5FYdyPcP06Xi0KBjF7re5o,"['contemporary country', 'country', 'country road', 'texas country']"
Dear Today,7j3aRaky6Xr1fpuqmB3s4w,['contemporary country']
Does To Me (feat. Eric Church),17TSJlshgQ5zu0e8dedAla,['contemporary country']
Reasons,4T6QFouj6rIQObxgwt9ELL,['contemporary country']
Missin' You Crazy,3rYOzxOIYjq2hXPRFjCQ2v,"['contemporary country', 'country', 'country road', 'modern country rock']"
Trash A Hotel Room,1HdrHZQ620XujjLf4SDYg9,"['contemporary country', 'country', 'country road', 'modern country rock']"
Write You A Song,0OaMDKHLCkUNVnxvQbaiDQ,"['contemporary country', 'country', 'country road', 'modern country rock']"
This One's for You,7C5jpdJ6XQhK5Qh96SqB1d,['contemporary country']
Outlaws Like Us,6vdkRkomwx3z7BR1W0AcO7,"['contemporary country', 'country road']"
You Already Love Me,6khYfrHhcx6E8YDGKsUPNy,"['contemporary country', 'country', 'country road', 'oklahoma country']"
"Lover, Lover",5UzU0qw21okODBNUnxptVo,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']"
So So Long,0EaBW4njQejxDNg0rzZo3o,"['contemporary country', 'country', 'country road', 'modern country rock']"
Hungover & Hard Up,5x0vtnEd0Opk7hZmWLvbFS,"['contemporary country', 'country', 'country road']"
Heading South,2c8WbESPtql9rRE2lB9Wwl,['oklahoma country']
Had Me By Halftime,3xca35T5BVLg4ePuVzc7wW,['contemporary country']
All Your'n,0fCwTrRNfoNk962ati8n2K,"['kentucky indie', 'kentucky roots', 'outlaw country']"
When I've Been Drinkin',59O0lOCAMdBugXQrEGR6A6,"['contemporary country', 'country', 'country road', 'modern country rock']"
"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",5FmvaZGd6fulojSToozLRD,['contemporary country']
"Y'all People - Dedicated to the ""CoJo Nation""",0wjaq05IUF3dVHNnYXjg8O,"['contemporary country', 'country', 'country road', 'texas country']"
Talk To Me Right,4QbPdzir5WY3Moq2X0UrG9,"['contemporary country', 'country', 'country road', 'texas country']"
Every Dog Has Its Day,3NlRw4geKm0ltghT1zrTx2,"['contemporary country', 'country', 'country road', 'oklahoma country']"
Colder Weather,6PEZpZIS4uygvUoLX1Dm4C,"['contemporary country', 'country', 'country road', 'modern country rock']"
I've Been Better,01RR3tSGpk00yAltBopvYn,"['contemporary country', 'country', 'country road']"
Drunk Americans,799mKKcXcpcJcbBZzrnyAp,"['contemporary country', 'country', 'country road', 'oklahoma country']"
