,name,uri,genres,artist
247,Keeping Your Head Up - Don Diablo Remix; Radio Edit,7KCXA4Y1gIGDSm388m9bW1,"['indie cafe pop', 'pop', 'pop rock']",Birdy
249,Funky Town,7723JnKU2R15Iv4T7OJrly,"['disco', 'minneapolis sound']",Lipps Inc.
251,Love Me Like You Do,0Cy7wt6IlRfBPHXXjmZbcP,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",Ellie Goulding
252,Trouble,5n0CTysih20NYdT2S0Wpe8,"['modern rock', 'punk blues', 'rock']",Cage The Elephant
254,You Really Got Me - Mono Mix,29SyMC0plk6qw8NMF7lfRL,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'rock', 'roots rock']",The Kinks
255,Gold on the Ceiling,5lN1EH25gdiqT1SFALMAq1,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",The Black Keys
256,Domino - 1999 Remaster,0eti3iRdEgUxwcIcN2N9DY,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",Van Morrison
260,Just What I Needed,4alHo6RGd0D3OUbTPExTHN,"['album rock', 'art rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'power pop', 'rock', 'soft rock']",The Cars
264,Amerika,6pqKbOiVd58jcnxqIB10Ra,"['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']",Young the Giant
265,Lovely Day,0bRXwKfigvpKZUurwqAlEh,['jazz funk'],Bill Withers
266,Miss Independent,34ceTg8ChN5HjrqiIYCn9Q,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",Ne-Yo
267,All of Me,3U4isOIWM3VvDubwSI3y7a,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",John Legend
271,Leather and Lace,6L5c6wFGDQswebVAS3BmUw,"['pop', 'pop rock']",Stevie Nicks
272,34+35,6Im9k8u9iIzKMrmV7BWtlF,"['canadian contemporary r&b', 'canadian pop', 'pop']",Ariana Grande
273,Gettin' It (feat. Parliament Funkadelic),5K5dQsYdSdo2LKdepxbYAd,"['cali rap', 'gangster rap', 'golden age hip hop', 'hip hop', 'hyphy', 'oakland hip hop', 'pop rap', 'rap', 'southern hip hop', 'west coast rap']",Too $hort
